Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,target
114,5.7,2.5,5.0,2.0,Iris-virginica,2
131,7.4,2.8,6.1,1.9,Iris-virginica,2
70,5.6,2.5,3.9,1.1,Iris-versicolor,1
149,6.2,3.4,5.4,2.3,Iris-virginica,2
35,4.9,3.1,1.5,0.1,Iris-setosa,0
139,6.0,3.0,4.8,1.8,Iris-virginica,2
86,6.0,3.4,4.5,1.6,Iris-versicolor,1
45,5.1,3.8,1.9,0.4,Iris-setosa,0
147,6.3,2.5,5.0,1.9,Iris-virginica,2
80,5.7,2.6,3.5,1.0,Iris-versicolor,1
133,6.4,2.8,5.6,2.2,Iris-virginica,2
142,6.9,3.1,5.1,2.3,Iris-virginica,2
115,5.8,2.8,5.1,2.4,Iris-virginica,2
48,4.6,3.2,1.4,0.2,Iris-setosa,0
41,5.0,3.5,1.3,0.3,Iris-setosa,0
7,4.6,3.4,1.4,0.3,Iris-setosa,0
46,4.8,3.0,1.4,0.3,Iris-setosa,0
15,5.8,4.0,1.2,0.2,Iris-setosa,0
121,6.9,3.2,5.7,2.3,Iris-virginica,2
21,5.4,3.4,1.7,0.2,Iris-setosa,0
99,5.1,2.5,3.0,1.1,Iris-versicolor,1
60,5.2,2.7,3.9,1.4,Iris-versicolor,1
120,6.0,2.2,5.0,1.5,Iris-virginica,2
61,5.0,2.0,3.5,1.0,Iris-versicolor,1
102,5.8,2.7,5.1,1.9,Iris-virginica,2
19,5.7,3.8,1.7,0.3,Iris-setosa,0
90,5.5,2.5,4.0,1.3,Iris-versicolor,1
106,7.6,3.0,6.6,2.1,Iris-virginica,2
8,5.0,3.4,1.5,0.2,Iris-setosa,0
39,4.4,3.0,1.3,0.2,Iris-setosa,0
71,5.9,3.2,4.8,1.8,Iris-versicolor,1
128,6.1,3.0,4.9,1.8,Iris-virginica,2
136,7.7,3.0,6.1,2.3,Iris-virginica,2
68,5.8,2.7,4.1,1.0,Iris-versicolor,1
95,5.6,2.7,4.2,1.3,Iris-versicolor,1
31,4.8,3.1,1.6,0.2,Iris-setosa,0
6,5.4,3.9,1.7,0.4,Iris-setosa,0
112,6.4,2.7,5.3,1.9,Iris-virginica,2
107,4.9,2.5,4.5,1.7,Iris-virginica,2
87,6.7,3.1,4.7,1.5,Iris-versicolor,1
143,5.8,2.7,5.1,1.9,Iris-virginica,2
111,6.5,3.2,5.1,2.0,Iris-virginica,2
16,5.7,4.4,1.5,0.4,Iris-setosa,0
27,5.0,3.4,1.6,0.4,Iris-setosa,0
59,6.6,2.9,4.6,1.3,Iris-versicolor,1
132,7.9,3.8,6.4,2.0,Iris-virginica,2
34,5.5,4.2,1.4,0.2,Iris-setosa,0
79,6.0,2.9,4.5,1.5,Iris-versicolor,1
53,6.9,3.1,4.9,1.5,Iris-versicolor,1
73,6.3,2.5,4.9,1.5,Iris-versicolor,1
69,6.2,2.2,4.5,1.5,Iris-versicolor,1
22,5.1,3.7,1.5,0.4,Iris-setosa,0
117,6.5,3.0,5.5,1.8,Iris-virginica,2
104,6.3,2.9,5.6,1.8,Iris-virginica,2
18,5.1,3.5,1.4,0.3,Iris-setosa,0
66,6.7,3.1,4.4,1.4,Iris-versicolor,1
148,6.5,3.0,5.2,2.0,Iris-virginica,2
122,5.6,2.8,4.9,2.0,Iris-virginica,2
78,6.7,3.0,5.0,1.7,Iris-versicolor,1
49,5.3,3.7,1.5,0.2,Iris-setosa,0
58,4.9,2.4,3.3,1.0,Iris-versicolor,1
140,6.9,3.1,5.4,2.1,Iris-virginica,2
94,5.0,2.3,3.3,1.0,Iris-versicolor,1
77,6.8,2.8,4.8,1.4,Iris-versicolor,1
64,6.1,2.9,4.7,1.4,Iris-versicolor,1
40,5.1,3.4,1.5,0.2,Iris-setosa,0
110,7.2,3.6,6.1,2.5,Iris-virginica,2
10,4.9,3.1,1.5,0.1,Iris-setosa,0
92,6.1,3.0,4.6,1.4,Iris-versicolor,1
76,6.6,3.0,4.4,1.4,Iris-versicolor,1
29,5.2,3.4,1.4,0.2,Iris-setosa,0
91,5.5,2.6,4.4,1.2,Iris-versicolor,1
129,6.4,2.8,5.6,2.1,Iris-virginica,2
55,6.5,2.8,4.6,1.5,Iris-versicolor,1
88,6.3,2.3,4.4,1.3,Iris-versicolor,1
109,6.7,2.5,5.8,1.8,Iris-virginica,2
126,7.2,3.2,6.0,1.8,Iris-virginica,2
124,6.3,2.7,4.9,1.8,Iris-virginica,2
26,5.0,3.0,1.6,0.2,Iris-setosa,0
43,4.4,3.2,1.3,0.2,Iris-setosa,0
56,5.7,2.8,4.5,1.3,Iris-versicolor,1
97,5.7,2.9,4.2,1.3,Iris-versicolor,1
83,5.8,2.7,3.9,1.2,Iris-versicolor,1
146,6.7,3.0,5.2,2.3,Iris-virginica,2
85,5.4,3.0,4.5,1.5,Iris-versicolor,1
33,5.2,4.1,1.5,0.1,Iris-setosa,0
130,7.2,3.0,5.8,1.6,Iris-virginica,2
113,6.8,3.0,5.5,2.1,Iris-virginica,2
82,5.5,2.4,3.7,1.0,Iris-versicolor,1
75,6.4,2.9,4.3,1.3,Iris-versicolor,1
103,7.1,3.0,5.9,2.1,Iris-virginica,2
4,4.6,3.1,1.5,0.2,Iris-setosa,0
44,5.0,3.5,1.6,0.6,Iris-setosa,0
72,6.1,2.8,4.0,1.3,Iris-versicolor,1
135,6.1,2.6,5.6,1.4,Iris-virginica,2
123,7.7,2.8,6.7,2.0,Iris-virginica,2
38,4.9,3.1,1.5,0.1,Iris-setosa,0
116,6.4,3.2,5.3,2.3,Iris-virginica,2
141,6.7,3.1,5.6,2.4,Iris-virginica,2
93,5.8,2.6,4.0,1.2,Iris-versicolor,1
105,6.5,3.0,5.8,2.2,Iris-virginica,2
47,5.1,3.8,1.6,0.2,Iris-setosa,0
52,6.4,3.2,4.5,1.5,Iris-versicolor,1
127,6.2,2.8,4.8,1.8,Iris-virginica,2
11,5.4,3.7,1.5,0.2,Iris-setosa,0
20,5.1,3.8,1.5,0.3,Iris-setosa,0
28,5.2,3.5,1.5,0.2,Iris-setosa,0
3,4.7,3.2,1.3,0.2,Iris-setosa,0
63,6.0,2.2,4.0,1.0,Iris-versicolor,1
81,5.5,2.4,3.8,1.1,Iris-versicolor,1
12,4.8,3.4,1.6,0.2,Iris-setosa,0
108,7.3,2.9,6.3,1.8,Iris-virginica,2
1,5.1,3.5,1.4,0.2,Iris-setosa,0
125,6.7,3.3,5.7,2.1,Iris-virginica,2
62,5.9,3.0,4.2,1.5,Iris-versicolor,1
100,5.7,2.8,4.1,1.3,Iris-versicolor,1
101,6.3,3.3,6.0,2.5,Iris-virginica,2
13,4.8,3.0,1.4,0.1,Iris-setosa,0
98,6.2,2.9,4.3,1.3,Iris-versicolor,1
57,6.3,3.3,4.7,1.6,Iris-versicolor,1
24,5.1,3.3,1.7,0.5,Iris-setosa,0
119,7.7,2.6,6.9,2.3,Iris-virginica,2
145,6.7,3.3,5.7,2.5,Iris-virginica,2
137,6.3,3.4,5.6,2.4,Iris-virginica,2
74,6.1,2.8,4.7,1.2,Iris-versicolor,1
138,6.4,3.1,5.5,1.8,Iris-virginica,2
14,4.3,3.0,1.1,0.1,Iris-setosa,0
2,4.9,3.0,1.4,0.2,Iris-setosa,0
134,6.3,2.8,5.1,1.5,Iris-virginica,2
144,6.8,3.2,5.9,2.3,Iris-virginica,2
